Caption:,Neural network training. Here are collected the different hyperparameters changed and fixed in the training of the direct model of the task and the actuation network in the two distinguished actuation scenarios.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Direct Model of the task,,,,,,,,,,,,,,,,,
Default values,,,,,,,,,,,,,,,,,
Learning rate,,,0.001,,,Optimizer,,,Adam,,,,,,,,
Batch's size,,,16,,,Loss function,,,MSE,,,,,,,,
Number of epochs,,,4000,,,Training/test partition,,,0.95,,,,,,,,
Best combination of the changed parameters,,,,,,,,,,,,,,,,,
Hyper-parameter,,,,Partial Actuation,,,,Complete Actuation,,,,,,,,,
Number of units,,,,64,,,,64,,,,,,,,,
Activation function,,,,ReLU,,,,ReLU,,,,,,,,,
Normalization,,,,Rescaling,,,,Z-score,,,,,,,,,
Actuation Network,,,,,,,,,,,,,,,,,
Default values,,,,,,,,,,,,,,,,,
Learning rate,,,0.001,,,Optimizer,,,Adam,,,,,,,,
Batch's size,,,32,,,Loss function,,,MSE,,,,,,,,
Number of epochs,,,500,,,Training/test partition,,,0.9,,,,,,,,
Best combination of the changed parameters,,,,,,,,,,,,,,,,,
Hyper-parameter,,,,Partial Actuation,,,,Complete Actuation,,,,,,,,,
Number of units,,,,128,,,,128,,,,,,,,,
Activation function,,,,ReLU,,,,ReLU,,,,,,,,,
,,,,,,,,,,,,,,,,,
