Caption:,Qualitative analysis of the video recorded related to Deep reinforcement learning controller in the partial actuation scenario. All the recordings of the throws are reported in the supplementary material. We have considered the following four states of the object: (E) enter; (BI) bounced-in; (BO) bounced-out; (O) out.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Deep reinforcement learning controller - partial actuation scenario,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Target,Tossed object,,,,,,,,,,,,,,,,
,PingPong,,,Lemon,,,Marker,,,Tomato,,,,,,,
A,E,E,E,E,E,E,E,E,O,BI,BI,E,,,,,
B,E,BO,E,E,E,E,E,E,E,BI,BO,E,,,,,
C,O,BO,O,E,E,E,BO,BI,BI,BI,BO,O,,,,,
D,O,O,O,O,O,O,O,E,E,E,E,E,,,,,
E,E,O,BO,E,E,E,BO,BO,BO,BI,E,BI,,,,,
F,E,E,BO,E,BI,BI,O,O,O,BI,BO,BI,,,,,
G,E,E,E,E,E,E,E,E,E,E,E,E,,,,,
H,E,E,E,E,E,E,O,O,O,BI,BI,BI,,,,,
I,E,E,E,BO,BI,BO,O,O,O,O,BO,BO,,,,,
L,E,E,E,BO,BI,BO,O,O,O,BI,BO,BO,,,,,
SE,20,,,19,,,10,,,9,,,,,,,
SBI,0,,,4,,,2,,,12,,,,,,,
SBO,4,,,4,,,4,,,7,,,,,,,
SO,6,,,3,,,14,,,2,,,,,,,
,,,,,,,,,,,,,,,,,
