Caption:,Qualitative analysis of the video recorded related to non-real-time controller in the complete actuation scenario. All the recordings of the throws are reported in the supplementary material. We have considered the following four states of the object: (E) enter; (BI) bounced-in; (BO) bounced-out; (O) out.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Optimisation based controller - complete actuation scenario,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Target,Tossed object,,,,,,,,,,,,,,,,
,PingPong,,,Lemon,,,Marker,,,Tomato,,,,,,,
A,E,E,E,E,E,E,E,E,E,BI,BI,BI,,,,,
B,E,E,E,E,E,E,E,E,E,E,E,BI,,,,,
C,BO,BO,BO,E,E,E,E,E,E,BI,BI,E,,,,,
D,O,BO,O,BO,BO,BO,E,E,E,E,E,BI,,,,,
E,E,E,E,E,E,E,E,E,E,BI,E,E,,,,,
F,E,E,BO,BI,BO,BO,BO,O,BO,BO,BO,BI,,,,,
G,E,E,E,E,E,E,E,E,E,E,E,E,,,,,
H,E,E,E,E,E,E,E,E,E,BO,BI,BI,,,,,
I,E,E,E,BO,BO,E,O,O,O,BI,BI,BO,,,,,
L,BO,BO,BO,E,E,E,E,E,E,BO,BI,BI,,,,,
SE,20,,,22,,,24,,,10,,,,,,,
SBI,0,,,1,,,0,,,15,,,,,,,
SBO,8,,,7,,,2,,,5,,,,,,,
SO,2,,,0,,,4,,,0,,,,,,,
,,,,,,,,,,,,,,,,,
