Caption:,Errors of the RL agent in the direct model. Distance in millimeters of the landing positions associated with the actuation patterns identified by the reinforcement learning agent and the respective targets.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Landing position error in the direct model ,,,,,,,,,,,,,,,,,
Target,Partial actuation,Complete actuation,,,,,,,,,,,,,,,
A,12.38,42.29,,,,,,,,,,,,,,,
B,27.32,20.30,,,,,,,,,,,,,,,
C,20.13,19.07,,,,,,,,,,,,,,,
D,29.49,39.76,,,,,,,,,,,,,,,
E,35.16,37.33,,,,,,,,,,,,,,,
F,28.96,27.16,,,,,,,,,,,,,,,
G,28.07,49.50,,,,,,,,,,,,,,,
H,48.18,24.72,,,,,,,,,,,,,,,
I,2.43,19.17,,,,,,,,,,,,,,,
L,11.74,26.23,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
